GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dqetool,dqetool.sqlite3.oracle,SQLite3DQEOracle,1151,0,110,0,226,0,68,0,13,0
dqetool,dqetool.cockroachdb,CockroachDBSchema.CockroachDBTables,4,0,0,0,2,0,1,0,1,0
dqetool,dqetool.cockroachdb,CockroachDBProvider,575,0,72,0,133,0,48,0,8,0
dqetool,dqetool.cockroachdb,CockroachDBOptions.CockroachDBOracleFactory.new CockroachDBOptions.CockroachDBOracleFactory() {...},10,0,0,0,2,0,2,0,2,0
dqetool,dqetool.cockroachdb,CockroachDBProvider.CockroachDBGlobalState,10,0,0,0,2,0,2,0,2,0
dqetool,dqetool.cockroachdb,CockroachDBSchema,386,0,45,0,84,0,38,0,8,0
dqetool,dqetool.cockroachdb,CockroachDBCommon,61,0,6,0,9,0,5,0,2,0
dqetool,dqetool.cockroachdb,CockroachDBSchema.CockroachDBColumn,18,0,0,0,6,0,3,0,3,0
dqetool,dqetool.cockroachdb,CockroachDBOptions.CockroachDBOracleFactory,14,0,0,0,2,0,1,0,1,0
dqetool,dqetool.cockroachdb,CockroachDBSchema.CockroachDBDataType,171,0,0,0,5,0,3,0,3,0
dqetool,dqetool.cockroachdb,CockroachDBToStringVisitor,598,0,41,0,137,0,40,0,17,0
dqetool,dqetool.cockroachdb,CockroachDBVisitor,105,0,22,0,28,0,13,0,2,0
dqetool,dqetool.cockroachdb,CockroachDBSchema.CockroachDBTable,7,0,0,0,2,0,1,0,1,0
dqetool,dqetool.cockroachdb,CockroachDBProvider.Action,410,0,6,0,54,0,11,0,8,0
dqetool,dqetool.cockroachdb,CockroachDBErrors,904,0,28,0,242,0,22,0,8,0
dqetool,dqetool.cockroachdb,CockroachDBOptions,24,0,0,0,6,0,2,0,2,0
dqetool,dqetool.cockroachdb,CockroachDBBugs,29,0,0,0,14,0,1,0,1,0
dqetool,dqetool.cockroachdb,CockroachDBSchema.CockroachDBCompositeDataType,298,0,40,0,57,0,38,0,14,0
dqetool,dqetool.tidb.ast,TiDBOrderingTerm,23,0,2,0,8,0,6,0,5,0
dqetool,dqetool.tidb.ast,TiDBFunctionCall,15,0,0,0,6,0,3,0,3,0
dqetool,dqetool.tidb.ast,TiDBBinaryComparisonOperation.TiDBComparisonOperator,96,0,0,0,13,0,4,0,4,0
dqetool,dqetool.tidb.ast,TiDBUnaryPrefixOperation,7,0,0,0,3,0,2,0,2,0
dqetool,dqetool.tidb.ast,TiDBRegexOperation,6,0,0,0,2,0,1,0,1,0
dqetool,dqetool.tidb.ast,TiDBTableReference,9,0,0,0,4,0,2,0,2,0
dqetool,dqetool.tidb.ast,TiDBBinaryLogicalOperation.TiDBBinaryLogicalOperator,41,0,0,0,8,0,4,0,4,0
dqetool,dqetool.tidb.ast,TiDBAggregate,5,0,0,0,2,0,1,0,1,0
dqetool,dqetool.tidb.ast,TiDBText,9,0,0,0,4,0,2,0,2,0
dqetool,dqetool.tidb.ast,TiDBJoin,180,0,10,0,40,0,20,0,13,0
dqetool,dqetool.tidb.ast,TiDBCastOperation,15,0,0,0,6,0,3,0,3,0
dqetool,dqetool.tidb.ast,TiDBConstant.TiDBBitConstant,14,0,0,0,5,0,3,0,3,0
dqetool,dqetool.tidb.ast,TiDBBinaryBitOperation,6,0,0,0,2,0,1,0,1,0
dqetool,dqetool.tidb.ast,TiDBFunctionCall.TiDBFunction,931,0,4,0,98,0,8,0,6,0
dqetool,dqetool.tidb.ast,TiDBSelect,10,0,0,0,4,0,3,0,3,0
dqetool,dqetool.tidb.ast,TiDBBinaryArithmeticOperation.TiDBBinaryArithmeticOperator,85,0,0,0,12,0,4,0,4,0
dqetool,dqetool.tidb.ast,TiDBUnaryPostfixOperation,7,0,0,0,3,0,2,0,2,0
dqetool,dqetool.tidb.ast,TiDBBinaryBitOperation.TiDBBinaryBitOperator,74,0,0,0,11,0,4,0,4,0
dqetool,dqetool.tidb.ast,TiDBJoin.NaturalJoinType,38,0,0,0,3,0,2,0,2,0
